,Unnamed: 0,         HISAC Ultima - Test Report,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
0,,,,,,,,,,,,,,,,,,,,,
1,,HEADER :,,,,,,,,,Test Date Time:,,2009-04-03 13:12:12,,,,,,,,
2,,  Substation ,,,400/220Kv Itarasi,,  Breaker ID,,Bus reeactor1 TIE,,  Gas Pressure,,7.5 bar,,,,,,,,
3,,  Bay ,,,15,,  Breaker Type,,3AT2,,  Oil Pressure,,320 bar,,,,,,,,
4,,  Operator,,,Vibhute,,  Serial Number,,401101,,  Air Pressure,,Nil,,,,,,,,
5,,,,,,,  Manufacturer,,BHEL,,  Voltage (kV),,400,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,
7,,SETTINGS :,,,,,,,,,,,,,,,,,,,
8,,  Trigger Option,,,DCRM,,  Sampling Speed (kC),,,10,  Reistance Range,,,mW,4000,,,,,,
9,,  Plot Length(ms),,,400,,  Delay tco (ms),,,300,  Delay toc (ms),,,,150,,,,,,
10,,  Current Range C1(A) ,,,25,,  Current Range C2(A) ,,,25,  Current Range C3(A) ,,,,25,,,,,,
11,,  Current Range C4(A) ,,,0,,  Current Range C5(A) ,,,0,  Current Range C6(A) ,,,,0,,,,,,
12,,  Velocity,,,Enabled,,  PIR,,,Disabled,  Auxiliary,,,,Disabled,,,,,,
13,,  Analog Channels,,,Disabled,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,
15,,  T1 (mm),,,240.4,,  T2 (mm),,,240.7,  T3 (mm),,251.9,,,,,,,,
16,,  Velocity Points :,,,,,,,,,,,,,,,,,,,
17,,  Close1,,,0 mm,,  Open1,,,10 mm,  DefClose,,10 ms,,,,,,,,
18,,  Close2,,,10 mm,,  Open2,,,0 mm,  DefOpen,,10 ms,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,
20,,Current,,,,Travel,,,,DCRM 1,,DCRM 2,,DCRM 3,,DCRM 4,,DCRM 5,,DCRM 6,
21,,Curret,current2,current3,,Travel 1,Travel 2,Travel 3,,Res,Curr,Res,Curr,Res,Curr,Res,Curr,Res,Curr,Res,Curr
22,,0,0,0,,205,204,218,,4095,0,4095,0,4095,0,4095,0,4095,0,4095,0
23,,0,0,0,,205,204,217,,4095,0,4095,0,4095,0,4095,0,4095,0,4095,0
24,,0,0,0,,204,204,217,,4095,0,4095,0,4095,0,4095,0,4095,0,4095,0
25,,2,0,0,,205,205,217,,4095,0,4095,0,4095,0,4095,0,4095,0,4095,0
26,,5,0,0,,205,204,217,,4095,0,4095,0,4095,0,4095,0,4095,0,4095,0
27,,10,0,0,,204,205,217,,4095,0,4095,0,4095,0,4095,0,4095,0,4095,0
28,,16,0,0,,205,204,216,,4095,0,4095,0,4095,0,4095,0,4095,0,4095,0
29,,20,0,0,,205,205,219,,4095,0,4095,0,4095,0,4095,0,4095,0,4095,0
30,,24,0,0,,205,204,218,,4095,0,4095,0,4095,0,4095,0,4095,0,4095,0
31,,27,0,0,,205,205,217,,4095,0,4095,0,4095,0,4095,0,4095,0,4095,0
32,,33,0,0,,204,205,217,,4095,0,4095,0,4095,0,4095,0,4095,0,4095,0
33,,36,0,0,,205,205,217,,4095,0,4095,0,4095,0,4095,0,4095,0,4095,0
34,,40,0,0,,205,204,217,,4095,0,4095,0,4095,0,4095,0,4095,0,4095,0
35,,43,0,0,,205,204,215,,4095,0,4095,0,4095,0,4095,0,4095,0,4095,0
36,,47,0,0,,204,205,215,,4095,0,4095,0,4095,0,4095,0,4095,0,4095,0
37,,52,0,0,,205,204,217,,4095,0,4095,0,4095,0,4095,0,4095,0,4095,0
38,,54,0,0,,205,204,217,,4095,0,4095,0,4095,0,4095,0,4095,0,4095,0
39,,58,0,0,,205,205,218,,4095,0,4095,0,4095,0,4095,0,4095,0,4095,0
40,,60,0,0,,204,205,217,,4095,0,4095,0,4095,0,4095,0,4095,0,4095,0
41,,65,0,0,,204,204,217,,4095,0,4095,0,4095,0,4095,0,4095,0,4095,0
42,,68,0,0,,205,205,216,,4095,0,4095,0,4095,0,4095,0,4095,0,4095,0
43,,71,0,0,,205,205,216,,4095,0,4095,0,4095,0,4095,0,4095,0,4095,0
44,,74,0,0,,204,205,217,,4095,0,4095,0,4095,0,4095,0,4095,0,4095,0
45,,78,0,0,,205,203,217,,4095,0,4095,0,4095,0,4095,0,4095,0,4095,0
46,,80,0,0,,203,205,217,,4095,0,4095,0,4095,0,4095,0,4095,0,4095,0
47,,84,0,0,,205,204,217,,4095,0,4095,0,4095,0,4095,0,4095,0,4095,0
48,,87,0,0,,204,204,217,,4095,0,4095,0,4095,0,4095,0,4095,0,4095,0
49,,90,0,0,,203,205,219,,4095,0,4095,0,4095,0,4095,0,4095,0,4095,0
50,,92,0,0,,205,205,215,,4095,0,4095,0,4095,0,4095,0,4095,0,4095,0
51,,96,0,0,,205,204,217,,4095,0,4095,0,4095,0,4095,0,4095,0,4095,0
