,Unnamed: 0,         HISAC Ultima - Test Report,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
0,,,,,,,,,,,,,,,,,,,,,
1,,HEADER :,,,,,,,,,Test Date Time:,,2009-04-04 11:51:22,,,,,,,,
2,,  Substation ,,,400/220Kv Itarasi,,  Breaker ID,,Bus reeactor2 TIE,,  Gas Pressure,,CGL,,,,,,,,
3,,  Bay ,,,27,,  Breaker Type,,400SFM40A,,  Oil Pressure,,Vibhute,,,,,,,,
4,,  Operator,,,XYZ,,  Serial Number,,EK7598C,,  Air Pressure,,c,,,,,,,,
5,,,,,,,  Manufacturer,,SCOPE,,  Voltage (kV),,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,
7,,SETTINGS :,,,,,,,,,,,,,,,,,,,
8,,  Trigger Option,,,DCRM,,  Sampling Speed (kC),,,10,  Reistance Range,,,mW,4000,,,,,,
9,,  Plot Length(ms),,,400,,  Delay tco (ms),,,300,  Delay toc (ms),,,,150,,,,,,
10,,  Current Range C1(A) ,,,25,,  Current Range C2(A) ,,,25,  Current Range C3(A) ,,,,25,,,,,,
11,,  Current Range C4(A) ,,,0,,  Current Range C5(A) ,,,0,  Current Range C6(A) ,,,,0,,,,,,
12,,  Velocity,,,Enabled,,  PIR,,,Disabled,  Auxiliary,,,,Enabled,,,,,,
13,,  Analog Channels,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,
15,,  T1 (mm),,,224.4,,  T2 (mm),,,226.4,  T3 (mm),,223.6,,,,,,,,
16,,  Velocity Points :,,,,,,,,,,,,,,,,,,,
17,,  Close1,,,80 mm,,  Open1,,,100 mm,  DefClose,,10 ms,,,,,,,,
18,,  Close2,,,100 mm,,  Open2,,,80 mm,  DefOpen,,10 ms,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,
20,,Current,,,,Travel,,,,DCRM 1,,DCRM 2,,DCRM 3,,DCRM 4,,DCRM 5,,DCRM 6,
21,,Curret,current2,current3,,Travel 1,Travel 2,Travel 3,,Res,Curr,Res,Curr,Res,Curr,Res,Curr,Res,Curr,Res,Curr
22,,0,0,0,,497,540,540,,4095,0,4095,0,4095,0,4095,0,4095,0,4095,0
23,,0,0,0,,494,536,538,,4095,0,4095,0,4095,0,4095,0,4095,0,4095,0
24,,0,0,0,,494,537,536,,4095,0,4095,0,4095,0,4095,0,4095,0,4095,0
