Unnamed: 0,         HISAC Ultima - Test Report,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,,,,,,,,,,,,,,,,,,,,
,HEADER :,,,,,,,,,Test Date Time:,,2009-04-04 11:51:22,,,,,,,,
,  Substation ,,,400/220Kv Itarasi,,  Breaker ID,,Bus reeactor2 TIE,,  Gas Pressure,,CGL,,,,,,,,
,  Bay ,,,27,,  Breaker Type,,400SFM40A,,  Oil Pressure,,Vibhute,,,,,,,,
,  Operator,,,XYZ,,  Serial Number,,EK7598C,,  Air Pressure,,c,,,,,,,,
,,,,,,  Manufacturer,,SCOPE,,  Voltage (kV),,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,SETTINGS :,,,,,,,,,,,,,,,,,,,
,  Trigger Option,,,DCRM,,  Sampling Speed (kC),,,10,  Reistance Range,,,mW,4000,,,,,,
,  Plot Length(ms),,,400,,  Delay tco (ms),,,300,  Delay toc (ms),,,,150,,,,,,
,  Current Range C1(A) ,,,25,,  Current Range C2(A) ,,,25,  Current Range C3(A) ,,,,25,,,,,,
,  Current Range C4(A) ,,,0,,  Current Range C5(A) ,,,0,  Current Range C6(A) ,,,,0,,,,,,
,  Velocity,,,Enabled,,  PIR,,,Disabled,  Auxiliary,,,,Enabled,,,,,,
,  Analog Channels,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,  T1 (mm),,,224.4,,  T2 (mm),,,226.4,  T3 (mm),,223.6,,,,,,,,
,  Velocity Points :,,,,,,,,,,,,,,,,,,,
,  Close1,,,80 mm,,  Open1,,,100 mm,  DefClose,,10 ms,,,,,,,,
,  Close2,,,100 mm,,  Open2,,,80 mm,  DefOpen,,10 ms,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
